model,kind,split,calibrated,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,ece,brier,flag_rate,precision,recall,f1,net_inr_per_1000,fp_cost_inr
do_nothing,ladder rung 0,validation,False,0.19075712881022616,0.17256637168141592,0.20648967551622419,,0.022876133060378,0.15489216408210105,0.0,,0.0,,0.0,0.0
blanket_cod_block,ladder rung 1,validation,False,0.23442520958144536,0.20856966411525987,0.26155683690024606,0.5647539802833486,0.2055063913470993,0.2055063913470993,0.08849557522123894,0.4166666666666667,0.19329896907216496,0.2640845070422535,1227.8761061946902,7402.5
pincode_blocklist,ladder rung 2,validation,False,0.1957526799303488,0.17733452917545967,0.21437751339186945,0.5116339517230148,0.21337266470009833,0.21337266470009833,0.048180924287118974,0.2653061224489796,0.06701030927835051,0.10699588477366255,-808.259587020649,5076.0
logistic_regression,ladder rung 3,validation,False,0.483066371734196,0.43863274220351084,0.535154934437848,0.799102165825306,0.024386575133088357,0.12560813647047783,0.14601769911504425,0.468013468013468,0.3582474226804124,0.40583941605839413,3544.2477876106195,11139.0
lightgbm,ladder rung 4,validation,False,0.4429588863302478,0.397110452044688,0.5009271253013167,0.7903273790883242,0.055800684058798004,0.1323795843066755,0.13962635201573254,0.4647887323943662,0.3402061855670103,0.3928571428571429,3297.935103244838,10716.0
lightgbm_platt,final model,validation,True,0.4843864243484617,0.4393933068084496,0.5358660705464897,0.8056127945284414,0.013563633958505909,0.12391550851872335,0.19075712881022616,0.48195876288659795,0.48195876288659795,0.48195876288659795,5168.879056047198,14170.5
