band,action,lower_bound,upper_bound,n_orders,share_of_book,expected_rto_orders,realized_rto_orders,assumed_intervention_success,assumed_abandonment,expected_saving_inr,expected_false_positive_cost_inr,expected_net_inr
LOW,none,0.0,0.34814814814814815,1646,0.8092428711897739,201.3815828536169,201,0.0,0.0,0.0,0.0,0.0
ELEVATED,prepaid_nudge,0.34814814814814815,0.5570370370370371,304,0.14945919370698132,131.61940110306068,131,0.27,0.075,7818.1924255218055,3576.8974271114907,4241.294998410314
HIGH,confirmation_required,0.5570370370370371,0.8355555555555555,84,0.04129793510324484,54.985812141635186,56,0.6,0.25,7258.127202695845,2045.5002440147189,5212.626958681126
SEVERE,prepaid_only,0.8355555555555555,,0,0.0,0.0,0,0.78,0.55,0.0,0.0,0.0
